Natural Gas: Trade movements 2013 as liquefied natural gas,,,,,,,,,,,,,,,,,,,,,
Billion cubic metres,,,,,,,,,,,From,,,,,,,,,,
To ,US*,Brazil*,Trinidad & Tobago,Peru,Norway,Other Europe*,Russian Federation,Oman,Qatar,United Arab Emirates,Yemen,Algeria,Angola,Egypt,Equatorial Guinea,Nigeria,Australia,Brunei,Indonesia,Malaysia,Total Imports
US,0.0,0.0,1.97493947245,0.0,0.15933964802,0.0,0.0,0.0,0.207280295629,0.0,0.312166390576,0.0,0.0,0.0,0.0,0.073340978918,0.0,0.0,0.0,0.0,2.7270667856
Canada,0.00526695833156,0.0,0.24344,0.0,0.0,0.0,0.0,0.0,0.8024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.05110695833
Mexico,0.0807883447309,0.0,0.41208,2.5024,0.3672,0.412456463259,0.0,0.0,1.5912,0.0,0.5304,0.0,0.0,0.0,0.0,1.5504,0.0,0.0,0.351125584029,0.0,7.79805039202
North America,0.0860553030625,0.0,2.63045947245,2.5024,0.52653964802,0.412456463259,0.0,0.0,2.60088029563,0.0,0.842566390576,0.0,0.0,0.0,0.0,1.62374097892,0.0,0.0,0.351125584029,0.0,11.5762241359
Argentina,0.0,0.035506482,3.61499929209,0.0,0.0821180801359,1.63939911652,0.0,0.0,0.884,0.0,0.0,0.0,0.0,0.158374628345,0.0,0.511034970976,0.0,0.0,0.0,0.0,6.92543257006
Brazil,0.0,0.0,2.48701265727,0.0,0.254008914691,0.979387606396,0.0,0.0,0.269173626016,0.0,0.0,0.0763049619982,0.0884608160616,0.0765680825569,0.0,0.871970901178,0.0,0.0,0.0,0.0,5.10288756617
Chile,0.0,0.0,3.54931332295,0.0,0.0,0.0,0.0,0.0,0.173014299873,0.0,0.425479258106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.14780688093
Other S. & Cent. America,0.0,0.0,3.36002548492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07752,0.0,0.0,0.0,0.0,3.43754548492
S. & Cent. America,0.0,0.035506482,13.0113507572,0.0,0.336126994827,2.61878672292,0.0,0.0,1.32618792589,0.0,0.425479258106,0.0763049619982,0.0884608160616,0.234942710902,0.0,1.46052587215,0.0,0.0,0.0,0.0,19.6136725021
Belgium,0.0,0.0,0.0,0.0,0.0136,0.0,0.0,0.0,3.20008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.21368
France,0.0,0.0,0.0,0.0,0.2584,0.133339940535,0.0,0.0,1.7544,0.0,0.09656,5.30536,0.0,0.0,0.0,1.19645193261,0.0,0.0,0.0,0.0,8.74451187314
Italy,0.0,0.0,0.0,0.0,0.0,0.280934645335,0.0,0.0,5.1952,0.0,0.0,0.0408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.51693464533
Spain,0.0,0.0,2.00414012207,1.45178023183,1.14833332581,0.302728845403,0.0,0.164729657308,3.48886655583,0.0,0.0,3.23565402696,0.0,0.0398522957121,0.0,3.10799424511,0.0,0.0,0.0,0.0,14.944079306
Turkey,0.0,0.0,0.0,0.0,0.1632,0.140767577517,0.0,0.0,0.38624,0.0,0.0968427014017,3.8352,0.0,0.1632,0.0,1.26888,0.0,0.0,0.0,0.0,6.05433027892
United Kingdom,0.0,0.0,0.0994832571793,0.0,0.0964320541907,0.0,0.0,0.0,8.60720271297,0.0,0.0,0.406628774644,0.0,0.0686138824083,0.0,0.0,0.0,0.0,0.0,0.0,9.27836068139
Other Europe & Eurasia,0.0,0.0,0.09248,0.0,0.6188,0.153949704211,0.0,0.0,0.76296,0.0,0.0,0.684728559775,0.0,0.0920288829109,0.0,1.3056,0.0,0.0,0.0,0.0,3.7105471469
Europe & Eurasia,0.0,0.0,2.19610337925,1.45178023183,2.29876538,1.011720713,0.0,0.164729657308,23.3949492688,0.0,0.193402701402,13.5083713614,0.0,0.363695061031,0.0,6.87892617772,0.0,0.0,0.0,0.0,51.4624439317
Middle East,0.0,0.0,0.27608,0.0,0.0,0.23936,0.0,0.0,3.34272122328,0.0,0.0,0.0846495823305,0.0,0.175591108594,0.0,0.328945320685,0.0816,0.0,0.0,0.0,4.52894723489
China,0.0,0.0,0.14742536,0.0,0.0,0.07733912,0.0,0.0,9.20207688,0.0,1.52015224,0.077112,0.0871819908,0.57908256,0.54278008,0.49671008,4.83700864,0.0,3.30923768,3.61451416,24.4906207908
India,0.0,0.0,0.0,0.0,0.0881929808,0.08301492632,0.0,0.0,15.3425133865,0.0,0.72507448,0.09089859608,0.0,0.43613432,0.0,0.9222205016,0.0,0.08392846824,0.0,0.0,17.7719776595
Japan,0.0,0.0,0.38017032,0.97670168,0.42017064,0.24568128,11.6496036,5.49454416,21.84313952,7.35370224,0.68231336,0.57584168,0.16682304,0.78253584,3.0435236,5.2340824,24.369772,6.93161944,8.51566856,20.32200264,118.987896
South Korea,0.0,0.0,0.70699056,0.69431808,0.08420848,0.25536584,2.50333296,5.8906904,18.2876752,0.0,4.88343768,0.17273496,0.08836464,0.815082,0.16703656,3.76661384,0.84348424,1.55160224,7.65322048,5.8668428,54.23100096
Taiwan,0.0,0.0,0.0750680288,0.0,0.0,0.0836428424,0.08684416,0.0,8.5458311568,0.0,0.0829687176,0.0,0.0,0.246316332,0.4295360352,0.8580819564,0.08181352,0.1668039728,2.5814692984,3.9934068552,17.2317828756
Thailand,0.0,0.0,0.0,0.0,0.0,0.0585388645052,0.0,0.0,1.4008,0.0,0.0925753928925,0.0,0.0,0.02312,0.0816,0.34310066544,0.0,0.0,0.0,0.0,1.99973492284
Other Asia Pacific,0.0,0.0,0.33592,0.0,0.0840492708481,0.0,0.0,0.0,0.338182075605,0.0,0.184728868753,0.343480107603,0.0,0.0816,0.835534475435,0.452787767238,0.0,0.7752,0.0,0.0,3.43148256548
Asia Pacific,0.0,0.0,1.6455742688,1.67101976,0.676621371648,0.803582873225,14.23978072,11.38523456,74.9602182189,7.35370224,8.17125073925,1.26006734368,0.3423696708,2.963871052,5.10001075064,12.0735972107,30.1320784,9.50915412104,22.0595960184,33.7967664552,238.144495774
Total LNG exports,0.0860553030625,0.035506482,19.7595678777,5.62519999183,3.8380533945,5.0859067724,14.23978072,11.5499642173,105.624956932,7.35370224,9.63269908933,14.9293932494,0.430830486862,3.73809993253,5.10001075064,22.3657355602,30.2136784,9.50915412104,22.4107216024,33.7967664552,325.325783579
,,,,,,,,,,,,,,,,,,,,,"Source: Includes data from GIIGNL, Poten, Waterborne."
*  Includes re-exports,,,,,,,,,,,,,,,,,,,,,
